Sr.No,2.5% span length (mm),UR (%),Fineness (ug/inch),Bundle Strength (cN/tex),Trash content (%),Yarn Count (tex),Lea strength (kg),CSP,CV% of count,CV% strength,Unevenness (CV),Total imperfections per km
1,28.32,49.6,4.18,22.25,5.32,36.91,82.56,2879,1.19,4.08,14.19,347
2,27.98,49.6,3.8,21.84,5.6,36.91,83.46,2956,2.15,3.53,13.97,342
3,28.53,48,4.5,22.17,6.3,36.91,85.73,3011,1.43,4.93,13.88,303
4,29.58,50,4.24,22.17,5.38,36.91,79.38,2747,2.25,5.47,13.94,178
5,29.2,50.5,4.25,22.27,5.3,36.91,76.66,2701,2.4,5.5,14.24,168
6,27.67,49,4.42,21.71,5.73,36.91,75.3,2643,2.12,4.84,14.46,213
7,27.94,48.8,3.9,21.46,5.48,29.53,63.96,2760,1.37,3.92,15.58,484
8,28.32,49.6,4.18,22.25,5.32,29.53,68.04,2905,2,4.36,14.95,331
9,27.98,49.6,3.8,21.84,5.6,29.53,63.5,2844,1.74,4.61,14.69,434
10,28.53,48,4.5,22.17,6.3,29.53,57.61,2556,2.39,6,14.77,390
11,27.67,49,4.42,20.73,5.73,29.53,56.7,2483,1.35,4.16,14.94,342
12,28.32,50.2,4.44,20.44,5.52,29.53,58.51,2587,1.87,4.16,14.97,370
13,25.4,48,5.44,15.36,14.2,28.8,41.73,1829,2.39,5.35,18.01,748
14,24.67,47.3,5.5,15.7,14.4,28.8,44,1841,1.9,5.19,18.34,752
15,25.2,46,5,14.72,13.87,28.8,41.73,1848,2.03,4.66,18.19,765
16,25.48,48,5.48,15.63,13.75,28.8,43.09,1916,2.13,4.38,17.92,750
17,25.4,48,5.44,15.36,14.2,28.8,44,1919,2.35,4.26,17.88,680
18,25.05,47.5,5.25,15.19,13.18,28.8,42.18,1933,1.96,4.61,17.88,762
19,24.17,46.3,5.1,14.65,14.4,28.8,42.64,1919,1.82,4.9,18.79,729
20,22.4,45.5,5.4,15.25,14.4,28.8,43.09,1910,2.46,5.17,18.18,739
